1330000,Matraville
703500,Mays Hill
650000,Mcgraths Hill
1150000,Mcmahons Point
621000,Meadowbank
1447500,Melrose Park
845000,Menai
526000,Merrylands
670425,Merrylands West
1539000,Middle Cove
672500,Middleton Grange
560000,Miller
1550000,Millers Point
715000,Milperra
1650000,Milsons Point
650000,Minchinbury
702500,Miranda
1060000,Mona Vale
870000,Monterey
720000,Moorebank
740050,Mortdale
987500,Mortlake
1758500,Mosman
880000,Mount Colah
441000,Mount Druitt
812565,Mount Kuring-gai
987500,Mount Lewis
655750,Mount Pritchard
1170000,Mount Vernon
520000,Mulgrave
1255000,Naremburn
780000,Narrabeen
937500,Narwee
905000,Neutral Bay
1085000,Newington
1272500,Newport
1070000,Newtown
1044500,Normanhurst
1600000,North Balgowlah
2395000,Northbridge
1335000,North Epping
1492500,North Manly
672500,Northmead
1075000,North Narrabeen
662000,North Parramatta
980000,North Rocks
1395000,North Ryde
820000,North Strathfield
870000,North Sydney
1450000,North Turramurra
1290000,North Wahroonga
1800000,North Willoughby
2445000,Northwood
546250,Oakhurst
1142500,Oatlands
1000000,Oatley
820000,Old Guildford
755000,Old Toongabbie
1005500,Oyster Bay
1600000,Paddington
867500,Padstow
871000,Padstow Heights
1427500,Pagewood
2300000,Palm Beach
883500,Panania
769000,Parklea
950000,Peakhurst
1150000,Peakhurst Heights
715000,Pemulwuy
748500,Pendle Hill
1080000,Pennant Hills
770000,Penshurst
988000,Petersham
1285000,Phillip Bay
945000,Picnic Point
818888,Pitt Town
1700000,Pitt Town Bottoms
620500,Pleasure Point
550000,Plumpton
15000000,Point Piper
1205000,Port Hacking
620000,Potts Hill
625000,Potts Point
710000,Prairiewood
650000,Prestons
675000,Punchbowl
2037500,Putney
1460000,Pymble
910000,Pyrmont
741000,Queenscliff
1455788,Queens Park
625500,Ramsgate
670000,Ramsgate Beach
834750,Randwick
950000,Redfern
817500,Regents Park
874000,Revesby
930000,Revesby Heights
850000,Rhodes
1988750,Riverview
650000,Riverwood
640000,Rockdale
1640000,Rodd Point
552500,Rooty Hill
1677500,Rose Bay
756750,Rosebery
535000,Rosehill
818000,Roselands
2000000,Roseville
2150000,Roseville Chase
1820000,Rossmore
1112500,Rouse Hill
1375000,Rozelle
525000,Rushcutters Bay
1562000,Russell Lea
990000,Rydalmere
893000,Ryde
912500,Sackville North
550000,Sadleir
790000,Sandy Point
820000,Sans Souci
725000,Schofields
593500,Scotland Island
2020000,Seaforth
715000,Sefton
677000,Seven Hills
428010,Silverwater
638500,Smithfield
1354500,South Coogee
750000,South Granville
900000,South Hurstville
650000,South Maroota
1341000,South Turramurra
570000,South Wentworthville
475000,South Windsor
895000,Stanhope Gardens
1148000,Stanmore
611000,St Clair
1517500,St Ives
1682000,St Ives Chase
757000,St Johns Park
925000,St Leonards
995000,St Peters
1385000,Strathfield
1200000,Strathfield South
865500,Summer Hill
585000,Sutherland
890000,Sydenham
910000,Sydney
902000,Sylvania
1651000,Sylvania Waters
1616500,Taren Point
900000,Telopea
1030000,Tempe
1825000,Tennyson Point
1480000,Terrey Hills
955444,The Ponds
1250000,The Rocks
975500,Thornleigh
660000,Toongabbie
1500000,Turramurra
915000,Turrella
300000,Ultimo
2270500,Vaucluse
450000,Villawood
710000,Voyager Point
1240000,Wahroonga
653500,Waitara
650000,Wakeley
708737,Wareemba
1797500,Warrawee
790000,Warriewood
385000,Warwick Farm
770000,Waterfall
800000,Waterloo
723500,Wattle Grove
1510000,Waverley
1108000,Waverton
668000,Wentworth Point
849995,Wentworthville
724500,West Hoxton
1153500,Westleigh
575000,Westmead
1420500,West Pennant Hills
1400000,West Pymble
917500,West Ryde
752250,Wetherill Park
465000,Whalan
3150000,Whale Beach
1175000,Wheeler Heights
416000,Wiley Park
1107000,Willoughby
2125000,Willoughby East
690000,Windsor
709000,Wolli Creek
957500,Wollstonecraft
671000,Woodcroft
712500,Woodpark
1875000,Woollahra
844500,Woolloomooloo
1140000,Woolooware
7650000,Woolwich
910000,Woronora
970000,Woronora Heights
760000,Yagoona
918000,Yarrawarrah
342100,Yennora
1360000,Yowie Bay
805000,Zetland
