North Sydney,"$870,000.00"
North Turramurra,"$1,450,000.00"
North Wahroonga,"$1,290,000.00"
North Willoughby,"$1,800,000.00"
Northbridge,"$2,395,000.00"
Northmead,"$672,500.00"
Northwood,"$2,445,000.00"
Macquarie Fields,"$475,000.00"
Macquarie Park,"$663,500.00"
Malabar,"$2,000,000.00"
Manly,"$1,050,000.00"
Manly Vale,"$742,000.00"
Maroota,"$790,000.00"
Maroubra,"$1,228,500.00"
Marrickville,"$778,000.00"
Marsfield,"$877,000.00"
Mascot,"$920,000.00"
Matraville,"$1,330,000.00"
Mays Hill,"$703,500.00"
Mcgraths Hill,"$650,000.00"
Mcmahons Point,"$1,150,000.00"
Meadowbank,"$621,000.00"
Melrose Park,"$1,447,500.00"
Menai,"$845,000.00"
Merrylands,"$526,000.00"
Merrylands West,"$670,425.00"
Middle Cove,"$1,539,000.00"
Middleton Grange,"$672,500.00"
Miller,"$560,000.00"
Millers Point,"$1,550,000.00"
Milperra,"$715,000.00"
Milsons Point,"$1,650,000.00"
Minchinbury,"$650,000.00"
Miranda,"$702,500.00"
Mona Vale,"$1,060,000.00"
Monterey,"$870,000.00"
Moorebank,"$720,000.00"
Mortdale,"$740,050.00"
Mortlake,"$987,500.00"
Mosman,"$1,758,500.00"
Mount Colah,"$880,000.00"
Mount Druitt,"$441,000.00"
Mount Kuring-gai,"$812,565.00"
Mount Lewis,"$987,500.00"
Mount Pritchard,"$655,750.00"
Mount Vernon,"$1,170,000.00"
Mulgrave,"$520,000.00"
La Perouse,"$1,625,000.00"
Lakemba,"$414,250.00"
Lalor Park,"$622,500.00"
Lane Cove,"$926,500.00"
Lane Cove North,"$801,000.00"
Lane Cove West,"$1,477,500.00"
Lansvale,"$720,000.00"
Lavender Bay,"$820,000.00"
Leets Vale,"$640,000.00"
Leichhardt,"$1,175,000.00"
Leppington,"$335,500.00"
Lewisham,"$689,500.00"
Liberty Grove,"$908,000.00"
Lidcombe,"$866,000.00"
Lilli Pilli,"$2,025,000.00"
Lilyfield,"$1,385,000.00"
Lindfield,"$1,515,000.00"
Little Bay,"$1,302,500.00"
Liverpool,"$466,000.00"
Loftus,"$884,750.00"
Longueville,"$2,940,000.00"
Lugarno,"$1,161,000.00"
Lurnea,"$539,950.00"
Illawong,"$950,000.00"
Jannali,"$820,000.00"
Kangaroo Point,"$1,757,500.00"
Kareela,"$990,000.00"
Kellyville,"$962,500.00"
Kellyville Ridge,"$923,000.00"
Kemps Creek,"$1,500,000.00"
Kensington,"$800,000.00"
Kenthurst,"$1,575,000.00"
Killara,"$1,659,000.00"
Killarney Heights,"$1,725,000.00"
Kings Langley,"$819,000.00"
Kingsford,"$922,500.00"
Kingsgrove,"$1,200,000.00"
Kirrawee,"$730,000.00"
Kirribilli,"$1,710,000.00"
Kogarah,"$701,750.00"
Kogarah Bay,"$1,252,500.00"
Kurnell,"$858,000.00"
Kurraba Point,"$1,200,000.00"
Kyle Bay,"$1,412,500.00"
Haberfield,"$2,012,500.00"
Hammondville,"$653,444.00"
Harbord,"$1,100,000.00"
Hassall Grove,"$576,000.00"
Haymarket,"$864,500.00"
Heathcote,"$774,100.00"
Hebersham,"$480,000.00"
Heckenberg,"$575,000.00"
Hillsdale,"$558,000.00"
Hinchinbrook,"$650,000.00"
Holroyd,"$586,000.00"
Holsworthy,"$650,000.00"
Homebush,"$726,000.00"
Homebush West,"$570,000.00"
Horningsea Park,"$749,000.00"
Hornsby,"$693,000.00"
Hornsby Heights,"$1,055,000.00"
Horsley Park,"$1,070,000.00"
Hoxton Park,"$655,000.00"
Hunters Hill,"$1,785,000.00"
Huntleys Cove,"$1,127,500.00"
Hurlstone Park,"$805,000.00"
Hurstville,"$780,500.00"
Hurstville Grove,"$1,350,000.00"
Galston,"$655,000.00"
Georges Hall,"$845,000.00"
Girraween,"$727,500.00"
Gladesville,"$780,000.00"
Glebe,"$1,400,000.00"
Glendenning,"$578,250.00"
Glenfield,"$558,012.00"
Glenhaven,"$1,400,000.00"
Glenorie,"$2,200,000.00"
Glenwood,"$888,000.00"
Gordon,"$1,492,500.00"
Granville,"$567,500.00"
Grays Point,"$1,135,000.00"
Great Mackerel Beach,"$550,000.00"
Green Valley,"$624,000.00"
Greenacre,"$833,500.00"
Greenfield Park,"$695,000.00"
Greenwich,"$1,248,000.00"
Greystanes,"$798,000.00"
Guildford,"$680,000.00"
Guildford West,"$650,000.00"
Gymea,"$705,000.00"
Gymea Bay,"$1,120,000.00"
Fairfield,"$463,000.00"
